Sample	proteinfold-avg_pLDDT
LOKIASV2_0062_ESMFold_hypothetical_protein.pdb	85.34
LOKIASV2_0063_ESMFold_proteasome-activating_nucleotidase.pdb	90.34
LOKIASV2_0064_ESMFold_hypothetical_protein.pdb	76.32
LOKIASV2_0065_ESMFold_hypothetical_protein.pdb	63.83
LOKIASV2_0066_ESMFold_hypothetical_protein.pdb	68.83
LOKIASV2_0067_ESMFold_hypothetical_protein.pdb	79.18
LOKIASV2_0068_ESMFold_hypothetical_protein.pdb	77.47
LOKIASV2_0069_ESMFold_4-phosphopantoate--beta-alanine_ligase.pdb	84.22
LOKIASV2_0070_ESMFold_peptide_chain_release_factor_aRF-1.pdb	91.18
LOKIASV2_0071_ESMFold_pantoate_kinase.pdb	90.43
LOKIASV2_0072_ESMFold_UMP_kinase.pdb	89.68
LOKIASV2_0073_ESMFold_hypothetical_protein.pdb	71.71
LOKIASV2_0074_ESMFold_hypothetical_protein.pdb	69.9
LOKIASV2_0075_ESMFold_hypothetical_protein.pdb	80.25
LOKIASV2_0076_ESMFold_inosine-xanthosine_triphosphatase.pdb	85.72
LOKIASV2_0077_ESMFold_hypothetical_protein.pdb	84.7
LOKIASV2_0078_ESMFold_phosphoadenosine_phosphosulfate_reductase_family_protein.pdb	83.47
LOKIASV2_0079_ESMFold_HD_domain-containing_protein.pdb	84.09
LOKIASV2_0080_ESMFold_hypothetical_protein.pdb	35.72
LOKIASV2_0081_ESMFold_hypothetical_protein.pdb	67.02
LOKIASV2_0082_ESMFold_transcription_initiation_factor_IIB.pdb	86.83
LOKIASV2_0083_ESMFold_hypothetical_protein.pdb	58.71
LOKIASV2_0084_ESMFold_hypothetical_protein.pdb	75.93
LOKIASV2_0085_ESMFold_hypothetical_protein.pdb	51.21
LOKIASV2_0086_ESMFold_hypothetical_protein.pdb	68.14
LOKIASV2_0087_ESMFold_2-dehydropantoate_2-reductase.pdb	91.56
LOKIASV2_0088_ESMFold_DUF72_domain-containing_protein.pdb	87.86
LOKIASV2_0089_ESMFold_3-methyl-2-oxobutanoate_hydroxymethyltransferase.pdb	92.55
LOKIASV2_0090_ESMFold_cell_division_protein_FtsZ.pdb	85.29
LOKIASV2_0091_ESMFold_diaminopimelate_decarboxylase.pdb	88.93
LOKIASV2_0092_ESMFold_glycosyltransferase_family_4_protein.pdb	86.69
LOKIASV2_0093_ESMFold_hypothetical_protein.pdb	75.22
LOKIASV2_0094_ESMFold_hypothetical_protein.pdb	81.16
LOKIASV2_0095_ESMFold_KH_domain-containing_protein.pdb	94.06
LOKIASV2_0096_ESMFold_serine-threonine-protein_kinase_Rio1.pdb	92.2
LOKIASV2_0097_ESMFold_hypothetical_protein.pdb	86.97
LOKIASV2_0098_ESMFold_hypothetical_protein.pdb	87.37
LOKIASV2_0099_ESMFold_translation_initiation_factor_IF-2_subunit_beta.pdb	76.49
LOKIASV2_0100_ESMFold_OB-fold_nucleic_acid_binding_domain-containing_protein.pdb	81.23
LOKIASV2_0101_ESMFold_hypothetical_protein.pdb	76.34
LOKIASV2_0102_ESMFold_TIGR00269_family_protein.pdb	88.77
LOKIASV2_0103_ESMFold_hypothetical_protein.pdb	50.53
LOKIASV2_0104_ESMFold_hypothetical_protein.pdb	89.42
LOKIASV2_0105_ESMFold_protein-L-isoaspartate_O-methyltransferase.pdb	96.12
LOKIASV2_0106_ESMFold_DUF367_family_protein.pdb	87.41
LOKIASV2_0107_ESMFold_hypothetical_protein.pdb	78.68
LOKIASV2_0108_ESMFold_S-methyl-5--thioadenosine_phosphorylase.pdb	90.24
LOKIASV2_0109_ESMFold_hypothetical_protein.pdb	89.56
LOKIASV2_0110_ESMFold_7-cyano-7-deazaguanine_synthase.pdb	92.06
LOKIASV2_0111_ESMFold_thermosome_subunit_beta.pdb	92.65
LOKIASV2_0112_ESMFold_hypothetical_protein.pdb	60.46
LOKIASV2_0113_ESMFold_redox-regulated_ATPase_YchF.pdb	91.37
LOKIASV2_0114_ESMFold_hypothetical_protein.pdb	54.1
LOKIASV2_0115_ESMFold_hypothetical_protein.pdb	31.5
LOKIASV2_0116_ESMFold_hypothetical_protein.pdb	79.82
LOKIASV2_0117_ESMFold_hypothetical_protein.pdb	72.74
LOKIASV2_0118_ESMFold_ADP-ribosylation_factor-like_protein.pdb	88.25
LOKIASV2_0119_ESMFold_hypothetical_protein.pdb	46.91
LOKIASV2_0120_ESMFold_hypothetical_protein.pdb	78.7
LOKIASV2_0121_ESMFold_tRNA_-N-6--L-threonylcarbamoyladenosine-37--C-2---methylthiotransferase.pdb	91.61
LOKIASV2_0122_ESMFold_hypothetical_protein.pdb	57.09
LOKIASV2_0123_ESMFold_30S_ribosomal_protein_S17e.pdb	70.45
LOKIASV2_0124_AF2_hypothetical_protein.pdb	68.75
LOKIASV2_0125_ESMFold_hypothetical_protein.pdb	69.23
LOKIASV2_0126_ESMFold_hypothetical_protein.pdb	92.2
LOKIASV2_0127_ESMFold_hypothetical_protein.pdb	77.54
LOKIASV2_0128_ESMFold_hypothetical_protein.pdb	66.98
LOKIASV2_0129_ESMFold_hypothetical_protein.pdb	66.28
LOKIASV2_0130_ESMFold_hypothetical_protein.pdb	78.03
LOKIASV2_0131_ESMFold_hypothetical_protein.pdb	71.83
LOKIASV2_0132_ESMFold_50S_ribosomal_protein_L23.pdb	83.82
LOKIASV2_0133_ESMFold_50S_ribosomal_protein_L4.pdb	75.64
LOKIASV2_0134_ESMFold_50S_ribosomal_protein_L3.pdb	80.28
LOKIASV2_0135_ESMFold_ribosome_biogenesis-translation_initiation_ATPase_RLI.pdb	87.14
LOKIASV2_0136_ESMFold_lysine--tRNA_ligase.pdb	91.64
LOKIASV2_0137_ESMFold_hypothetical_protein.pdb	63.43
LOKIASV2_0138_AF2_hypothetical_protein.pdb	77.1
LOKIASV2_0139_ESMFold_hypothetical_protein.pdb	80.16
LOKIASV2_0140_ESMFold_hypothetical_protein.pdb	77.66
LOKIASV2_0141_ESMFold_hypothetical_protein.pdb	82.96
LOKIASV2_0142_ESMFold_aspartate_carbamoyltransferase_regulatory_subunit.pdb	74.27
LOKIASV2_0143_ESMFold_hypothetical_protein.pdb	81.38
LOKIASV2_0144_ESMFold_ribosome_rescue_protein_RqcH.pdb	89.79
LOKIASV2_0145_ESMFold_hypothetical_protein.pdb	79.94
LOKIASV2_0146_ESMFold_hypothetical_protein.pdb	56.24
LOKIASV2_0147_ESMFold_hypothetical_protein.pdb	71.54
LOKIASV2_0148_ESMFold_hypothetical_protein.pdb	69.22
LOKIASV2_0149_ESMFold_hypothetical_protein.pdb	35.6
LOKIASV2_0150_ESMFold_hypothetical_protein.pdb	53.42
LOKIASV2_0151_ESMFold_FAD-dependent_thymidylate_synthase.pdb	85.4
LOKIASV2_0152_ESMFold_Nif3-like_dinuclear_metal_center_hexameric_protein.pdb	93.88
LOKIASV2_0153_ESMFold_HIT_family_protein.pdb	87.67
LOKIASV2_0154_ESMFold_hypothetical_protein.pdb	64.03
LOKIASV2_0155_ESMFold_hypothetical_protein.pdb	85.03
LOKIASV2_0156_ESMFold_hypothetical_protein.pdb	80.1
LOKIASV2_0157_ESMFold_shikimate_kinase.pdb	83.54
LOKIASV2_0158_ESMFold_hypothetical_protein.pdb	57.16
LOKIASV2_0159_ESMFold_hypothetical_protein.pdb	67.24
LOKIASV2_0160_ESMFold_hypothetical_protein.pdb	67.49
LOKIASV2_0161_ESMFold_selenocysteine-specific_translation_elongation_factor.pdb	84.31
LOKIASV2_0162_ESMFold_hypothetical_protein.pdb	86.2
LOKIASV2_0163_ESMFold_hypothetical_protein.pdb	63.94
LOKIASV2_0164_ESMFold_hypothetical_protein.pdb	63.76
LOKIASV2_0165_ESMFold_CoA_pyrophosphatase.pdb	81.74
LOKIASV2_0166_ESMFold_isoprenylcysteine_carboxylmethyltransferase_family_protein.pdb	83.14
LOKIASV2_0167_ESMFold_hypothetical_protein.pdb	93.14
LOKIASV2_0168_ESMFold_MBL_fold_metallo-hydrolase.pdb	80.62
LOKIASV2_0169_ESMFold_hypothetical_protein.pdb	79.84
LOKIASV2_0170_ESMFold_hypothetical_protein.pdb	72.08
LOKIASV2_0171_ESMFold_hypothetical_protein.pdb	81.89
LOKIASV2_0172_ESMFold_hypothetical_protein.pdb	82.92
LOKIASV2_0173_ESMFold_hypothetical_protein.pdb	62.44
LOKIASV2_0174_ESMFold_acyl-CoA--6-aminopenicillanic_acid_acyltransferase.pdb	91.01
LOKIASV2_0175_ESMFold_GNAT_family_N-acetyltransferase.pdb	81.24
LOKIASV2_0176_ESMFold_hypothetical_protein.pdb	95.4
LOKIASV2_0177_ESMFold_hypothetical_protein.pdb	41.49
LOKIASV2_0178_ESMFold_adenylate_kinase_family_protein.pdb	92.7
LOKIASV2_0179_ESMFold_phenylacetic_acid_degradation_protein_PaaY.pdb	90.17
LOKIASV2_0180_ESMFold_hypothetical_protein.pdb	89.4
LOKIASV2_0181_ESMFold_hypothetical_protein.pdb	72.69
LOKIASV2_0182_ESMFold_hypothetical_protein.pdb	52.57
LOKIASV2_0183_ESMFold_hypothetical_protein.pdb	43.45
LOKIASV2_0184_ESMFold_hypothetical_protein.pdb	57.32
LOKIASV2_0185_ESMFold_hypothetical_protein.pdb	78.07
LOKIASV2_0186_ESMFold_Stp1nIreP_family_PP2C-type_Ser-Thr_phosphatase.pdb	87.26
LOKIASV2_0187_ESMFold_hypothetical_protein.pdb	87.1
LOKIASV2_0188_ESMFold_hypothetical_protein.pdb	84.51
LOKIASV2_0189_ESMFold_hypothetical_protein.pdb	89.63
LOKIASV2_0190_ESMFold_DUF371_domain-containing_protein.pdb	88.78
LOKIASV2_0191_ESMFold_tRNA_-guanine-37--N1--methyltransferase_Trm5b.pdb	90.96
LOKIASV2_0192_ESMFold_hypothetical_protein.pdb	90.95
LOKIASV2_0193_ESMFold_hypothetical_protein.pdb	84.31
LOKIASV2_0194_ESMFold_hypothetical_protein.pdb	81.86
LOKIASV2_0195_ESMFold_hypothetical_protein.pdb	82.74
LOKIASV2_0196_ESMFold_hypothetical_protein.pdb	66.76
LOKIASV2_0197_ESMFold_gamma_carbonic_anhydrase_family_protein.pdb	88.45
LOKIASV2_0198_ESMFold_transcription_initiation_factor_IIB.pdb	82.81
LOKIASV2_0199_ESMFold_hypothetical_protein.pdb	85.59
LOKIASV2_0200_ESMFold_TIGR02253_family_HAD-type_hydrolase.pdb	93.76
LOKIASV2_0201_ESMFold_hypothetical_protein.pdb	76.58
LOKIASV2_0202_ESMFold_inositol-3-phosphate_synthase.pdb	78.7
LOKIASV2_0203_ESMFold_hypothetical_protein.pdb	64.9
LOKIASV2_0204_ESMFold_hypothetical_protein.pdb	74.78
LOKIASV2_0205_ESMFold_hypothetical_protein.pdb	56.08
LOKIASV2_0206_ESMFold_hypothetical_protein.pdb	84.76
LOKIASV2_0207_ESMFold_hypothetical_protein.pdb	84.71
LOKIASV2_0208_ESMFold_hypothetical_protein.pdb	82.65
LOKIASV2_0209_ESMFold_50S_ribosomal_protein_L15e.pdb	64.15
LOKIASV2_0210_ESMFold_hypothetical_protein.pdb	78.49
LOKIASV2_0211_ESMFold_hypothetical_protein.pdb	47.98
LOKIASV2_0212_ESMFold_serine--tRNA_ligase.pdb	95.21
LOKIASV2_0213_ESMFold_radical_SAM_protein.pdb	86.23
LOKIASV2_0214_ESMFold_hypothetical_protein.pdb	89.93
LOKIASV2_0215_ESMFold_hypothetical_protein.pdb	81.42
LOKIASV2_0216_ESMFold_L-threonylcarbamoyladenylate_synthase.pdb	92.64
LOKIASV2_0217_ESMFold_hypothetical_protein.pdb	52.43
LOKIASV2_0218_ESMFold_hypothetical_protein.pdb	63.08
LOKIASV2_0219_ESMFold_hypothetical_protein.pdb	73.58
LOKIASV2_0220_ESMFold_hypothetical_protein.pdb	44.58
LOKIASV2_0221_ESMFold_hypothetical_protein.pdb	36.33
LOKIASV2_0222_ESMFold_hypothetical_protein.pdb	58.35
LOKIASV2_0223_ESMFold_hypothetical_protein.pdb	62.04
LOKIASV2_0224_ESMFold_hypothetical_protein.pdb	30.69
LOKIASV2_0225_ESMFold_hypothetical_protein.pdb	34.25
LOKIASV2_0226_ESMFold_hypothetical_protein.pdb	66.86
LOKIASV2_0227_ESMFold_hypothetical_protein.pdb	65.57
LOKIASV2_0228_ESMFold_hypothetical_protein.pdb	67.21
LOKIASV2_0229_ESMFold_hypothetical_protein.pdb	72.53
LOKIASV2_0230_ESMFold_hypothetical_protein.pdb	76.44
LOKIASV2_0231_ESMFold_pyruvate_synthase_subunit_PorA.pdb	84.1
LOKIASV2_0232_ESMFold_hypothetical_protein.pdb	79.48
LOKIASV2_0233_ESMFold_hypothetical_protein.pdb	85.56
LOKIASV2_0234_ESMFold_hypothetical_protein.pdb	54.5
LOKIASV2_0235_ESMFold_hypothetical_protein.pdb	83.52
LOKIASV2_0236_ESMFold_hypothetical_protein.pdb	89.92
LOKIASV2_0237_ESMFold_urocanate_hydratase.pdb	60.84
LOKIASV2_0238_ESMFold_histidine_ammonia-lyase.pdb	94.44
LOKIASV2_0239_ESMFold_imidazolonepropionase.pdb	95.84
LOKIASV2_0240_ESMFold_glutamate_formimidoyltransferase.pdb	92.82
LOKIASV2_0241_ESMFold_cyclodeaminase-cyclohydrolase_family_protein.pdb	97.03
LOKIASV2_0242_ESMFold_hypothetical_protein.pdb	48.61
LOKIASV2_0243_ESMFold_radical_SAM_protein.pdb	85.15
LOKIASV2_0244_ESMFold_hypothetical_protein.pdb	35.17
LOKIASV2_0245_ESMFold_hypothetical_protein.pdb	84.06
LOKIASV2_0246_ESMFold_hypothetical_protein.pdb	78.68
LOKIASV2_0247_ESMFold_hypothetical_protein.pdb	79.04
LOKIASV2_0248_AF2_hypothetical_protein.pdb	79.29
LOKIASV2_0249_ESMFold_hypothetical_protein.pdb	56.78
LOKIASV2_0250_ESMFold_TIGR01458_family_HAD-type_hydrolase.pdb	94.07
LOKIASV2_0251_ESMFold_hypothetical_protein.pdb	90.53
LOKIASV2_0252_ESMFold_hypothetical_protein.pdb	77.4
LOKIASV2_0253_ESMFold_hypothetical_protein.pdb	77.16
LOKIASV2_0254_AF2_hypothetical_protein.pdb	83.55
LOKIASV2_0255_ESMFold_hypothetical_protein.pdb	80.47
LOKIASV2_0256_ESMFold_hypothetical_protein.pdb	86.19
LOKIASV2_0257_ESMFold_hypothetical_protein.pdb	94.76
LOKIASV2_0258_ESMFold_AmmeMemoRadiSam_system_radical_SAM_enzyme.pdb	91.34
LOKIASV2_0259_AF2_hypothetical_protein.pdb	84.04
LOKIASV2_0260_ESMFold_hypothetical_protein.pdb	81.37
LOKIASV2_0261_ESMFold_acyl-CoA_dehydratase_activase.pdb	89.93
LOKIASV2_0262_ESMFold_acyl-CoA_dehydratase_activase-related_protein.pdb	85.12
LOKIASV2_0263_ESMFold_acyl-CoA_dehydratase_activase-related_protein.pdb	87.42
LOKIASV2_0264_ESMFold_hypothetical_protein.pdb	82.7
LOKIASV2_0265_AF2_hypothetical_protein.pdb	40.99
LOKIASV2_0266_ESMFold_hypothetical_protein.pdb	76.36
LOKIASV2_0267_ESMFold_hypothetical_protein.pdb	53.18
LOKIASV2_0268_ESMFold_hypothetical_protein.pdb	58.54
LOKIASV2_0269_ESMFold_serine_hydrolase.pdb	90.59
LOKIASV2_0270_AF2_beta-galactosidase_LacZ.pdb	94.36
LOKIASV2_0271_ESMFold_hypothetical_protein.pdb	83.38
LOKIASV2_0272_ESMFold_hypothetical_protein.pdb	35.23
LOKIASV2_0273_AF2_hypothetical_protein.pdb	79.15
LOKIASV2_0274_ESMFold_hypothetical_protein.pdb	63.93
LOKIASV2_0275_ESMFold_hypothetical_protein.pdb	63.26
LOKIASV2_0276_ESMFold_hypothetical_protein.pdb	69.77
LOKIASV2_0277_ESMFold_hypothetical_protein.pdb	46.91
LOKIASV2_0278_ESMFold_hypothetical_protein.pdb	52.11
LOKIASV2_0279_ESMFold_hypothetical_protein.pdb	78.89
LOKIASV2_0280_ESMFold_Fe-S_cluster_assembly_ATPase_SufC.pdb	88.98
LOKIASV2_0281_ESMFold_SufD_family_Fe-S_cluster_assembly_protein.pdb	88.88
LOKIASV2_0282_ESMFold_zinc-dependent_alcohol_dehydrogenase_family_protein.pdb	93.2
LOKIASV2_0283_ESMFold_MFS_transporter.pdb	88.84
LOKIASV2_0284_ESMFold_MBL_fold_metallo-hydrolase.pdb	81.35
LOKIASV2_0285_ESMFold_hypothetical_protein.pdb	87.22
LOKIASV2_0286_ESMFold_methyltransferase.pdb	92.37
LOKIASV2_0287_ESMFold_hypothetical_protein.pdb	92.53
LOKIASV2_0288_ESMFold_DUF655_domain-containing_protein.pdb	85.69
LOKIASV2_0289_ESMFold_hypothetical_protein.pdb	83.07
LOKIASV2_0290_ESMFold_50S_ribosomal_protein_L21e.pdb	69.44
LOKIASV2_0291_ESMFold_M42_family_metallopeptidase.pdb	95.12
LOKIASV2_0292_ESMFold_uracil-DNA_glycosylase.pdb	93.2
LOKIASV2_0293_ESMFold_hypothetical_protein.pdb	79.62
LOKIASV2_0294_ESMFold_hypothetical_protein.pdb	68.94
LOKIASV2_0295_ESMFold_TIGR00269_family_protein.pdb	90.47
LOKIASV2_0296_ESMFold_class_I_SAM-dependent_methyltransferase.pdb	90.01
LOKIASV2_0297_ESMFold_short-chain-enoyl-CoA_hydratase.pdb	80.14
LOKIASV2_0298_ESMFold_tRNA_pseudouridine-54-55-_synthase_Pus10.pdb	90.42
LOKIASV2_0299_ESMFold_HesA-MoeB-ThiF_family_protein.pdb	96.26
LOKIASV2_0300_ESMFold_hypothetical_protein.pdb	52.38
LOKIASV2_0301_AF2_hypothetical_protein.pdb	78.91
LOKIASV2_0302_ESMFold_hypothetical_protein.pdb	71.45
LOKIASV2_0303_ESMFold_excinuclease_ABC_subunit_UvrC.pdb	85.0
LOKIASV2_0304_ESMFold_SLC45_family_MFS_transporter.pdb	86.4
LOKIASV2_0305_ESMFold_secondary_thiamine-phosphate_synthase_enzyme_YjbQ.pdb	87.27
LOKIASV2_0306_ESMFold_Rab_family_GTPase.pdb	86.52
LOKIASV2_0307_ESMFold_hypothetical_protein.pdb	55.58
LOKIASV2_0308_ESMFold_hypothetical_protein.pdb	72.23
LOKIASV2_0309_ESMFold_hypothetical_protein.pdb	79.84
LOKIASV2_0310_ESMFold_ATP-dependent_chaperone_ClpB.pdb	90.84
LOKIASV2_0311_ESMFold_tryptophan--tRNA_ligase.pdb	90.51
LOKIASV2_0312_ESMFold_preprotein_translocase_subunit_SecY.pdb	86.91
LOKIASV2_0313_ESMFold_hypothetical_protein.pdb	76.08
LOKIASV2_0314_ESMFold_hypothetical_protein.pdb	46.97
LOKIASV2_0315_ESMFold_hypothetical_protein.pdb	78.56
LOKIASV2_0316_AF2_DEAD-DEAH_box_helicase.pdb	79.0
LOKIASV2_0317_AF2_hypothetical_protein.pdb	70.02
LOKIASV2_0318_ESMFold_hypothetical_protein.pdb	43.0
LOKIASV2_0319_AF2_hypothetical_protein.pdb	64.0
LOKIASV2_0320_ESMFold_radical_SAM_protein.pdb	83.51
LOKIASV2_0321_ESMFold_hypothetical_protein.pdb	72.85
LOKIASV2_0322_ESMFold_archaeal_proteasome_endopeptidase_complex_subunit_alpha.pdb	92.02
LOKIASV2_0323_ESMFold_asparaginase.pdb	92.7
LOKIASV2_0324_ESMFold_hypothetical_protein.pdb	88.75
LOKIASV2_0325_ESMFold_2-hydroxyacid_dehydrogenase.pdb	90.05
LOKIASV2_0326_ESMFold_2-hydroxyacid_dehydrogenase.pdb	90.39
LOKIASV2_0327_ESMFold_hypothetical_protein.pdb	91.55
LOKIASV2_0328_ESMFold_hypothetical_protein.pdb	79.85
LOKIASV2_0329_ESMFold_hypothetical_protein.pdb	84.73
LOKIASV2_0330_ESMFold_N-A.pdb	89.65
LOKIASV2_0331_ESMFold_N-6_DNA_methylase.pdb	86.87
LOKIASV2_0332_ESMFold_hypothetical_protein.pdb	39.43
LOKIASV2_0333_ESMFold_hypothetical_protein.pdb	74.4
LOKIASV2_0334_ESMFold_hypothetical_protein.pdb	68.65
LOKIASV2_0335_ESMFold_hypothetical_protein.pdb	79.63
LOKIASV2_0336_ESMFold_hypothetical_protein.pdb	68.82
LOKIASV2_0337_ESMFold_hypothetical_protein.pdb	73.97
LOKIASV2_0338_ESMFold_hypothetical_protein.pdb	75.3
LOKIASV2_0339_ESMFold_hypothetical_protein.pdb	84.83
LOKIASV2_0340_ESMFold_phosphatase_PAP2_family_protein.pdb	87.65
LOKIASV2_0341_ESMFold_hypothetical_protein.pdb	51.81
LOKIASV2_0342_ESMFold_hypothetical_protein.pdb	78.08
LOKIASV2_0343_ESMFold_hypothetical_protein.pdb	77.73
LOKIASV2_0344_ESMFold_sugar_phosphate_nucleotidyltransferase.pdb	87.72
LOKIASV2_0345_ESMFold_hypothetical_protein.pdb	83.7
LOKIASV2_0346_ESMFold_phosphate_ABC_transporter_ATP-binding_protein_PstB.pdb	92.59
LOKIASV2_0347_ESMFold_nitroreductase_family_protein.pdb	89.85
LOKIASV2_0348_ESMFold_class_II_aldolase-adducin_family_protein.pdb	94.29
LOKIASV2_0349_ESMFold_hypothetical_protein.pdb	39.77
LOKIASV2_0350_ESMFold_hypothetical_protein.pdb	86.66
LOKIASV2_0351_ESMFold_hypothetical_protein.pdb	88.31
LOKIASV2_0352_ESMFold_hypothetical_protein.pdb	84.94
LOKIASV2_0353_ESMFold_archaeal_histone_HpkA.pdb	87.98
LOKIASV2_0354_ESMFold_hypothetical_protein.pdb	78.73
LOKIASV2_0355_ESMFold_hypothetical_protein.pdb	65.74
LOKIASV2_0356_ESMFold_hypothetical_protein.pdb	81.11
LOKIASV2_0357_ESMFold_hypothetical_protein.pdb	82.03
LOKIASV2_0358_ESMFold_hypothetical_protein.pdb	85.03
LOKIASV2_0359_ESMFold_hypothetical_protein.pdb	85.27
LOKIASV2_0360_ESMFold_hypothetical_protein.pdb	66.81
LOKIASV2_0361_ESMFold_enoyl-CoA_hydratase-related_protein.pdb	74.66
LOKIASV2_0362_ESMFold_hypothetical_protein.pdb	94.28
LOKIASV2_0363_ESMFold_ArsB-NhaD_family_transporter.pdb	92.55
LOKIASV2_0364_ESMFold_Mrp-NBP35_family_ATP-binding_protein.pdb	84.12
LOKIASV2_0365_ESMFold_hypothetical_protein.pdb	48.08
LOKIASV2_0366_ESMFold_M28_family_metallopeptidase.pdb	92.8
LOKIASV2_0367_ESMFold_hypothetical_protein.pdb	63.98
LOKIASV2_0368_ESMFold_xylulokinase.pdb	96.01
LOKIASV2_0369_ESMFold_hypothetical_protein.pdb	80.95
LOKIASV2_0370_ESMFold_hypothetical_protein.pdb	82.55
LOKIASV2_0371_ESMFold_hypothetical_protein.pdb	91.63
LOKIASV2_0372_ESMFold_hypothetical_protein.pdb	39.81
LOKIASV2_0373_ESMFold_hypothetical_protein.pdb	53.06
